DATE,PCEPI_NBD20180101
2018-01-01,100.00000
2018-02-01,100.21443
2018-03-01,100.32115
2018-04-01,100.56028
2018-05-01,100.73321
2018-06-01,100.82017
2018-07-01,100.92689
2018-08-01,100.99705
2018-09-01,101.20456
2018-10-01,101.37946
2018-11-01,101.41405
2018-12-01,101.48420
2019-01-01,101.49705
2019-02-01,101.64330
2019-03-01,101.83500
2019-04-01,102.14627
2019-05-01,102.20061
2019-06-01,102.24311
2019-07-01,102.38046
2019-08-01,102.43283
2019-09-01,102.52473
2019-10-01,102.72928
2019-11-01,102.76485
2019-12-01,103.04647
2020-01-01,103.22039
2020-02-01,103.31229
2020-03-01,103.00299
2020-04-01,102.56623
2020-05-01,102.65912
2020-06-01,102.96446
2020-07-01,103.30240
2020-08-01,103.62652
2020-09-01,103.80340
2020-10-01,103.87850
2020-11-01,103.95063
2020-12-01,104.45459
2021-01-01,104.88740
2021-02-01,105.25993
2021-03-01,105.79749
2021-04-01,106.38643
2021-05-01,106.92497
2021-06-01,107.46648
2021-07-01,107.98526
2021-08-01,108.43981
2021-09-01,108.79159
2021-10-01,109.49515
2021-11-01,110.17303
2021-12-01,110.91019
2022-01-01,111.49221
2022-02-01,112.15131
2022-03-01,113.09005
2022-04-01,113.42899
2022-05-01,114.07820
2022-06-01,115.11477
2022-07-01,115.13058
2022-08-01,115.50509
2022-09-01,115.92407
2022-10-01,116.44581
2022-11-01,116.70471
2022-12-01,116.94582
2023-01-01,117.60096
2023-02-01,117.97152
2023-03-01,118.11382
2023-04-01,118.47251
2023-05-01,118.59801
2023-06-01,118.79663
2023-07-01,119.01106
